"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.409285167E0,1.143645580E-1,-9.017809868E-2,-2.334734738E-2
1.419241167E0,9.737510752E-2,-8.256122321E-2,1.454085588E-2
1.429197167E0,6.556585237E-2,-7.096941054E-2,8.680367053E-2
1.439153167E0,6.413226128E-2,-7.380794138E-2,1.397431916E-1
1.449109167E0,8.032374959E-2,-6.534731269E-2,1.614971727E-1
1.459065167E0,1.094847277E-1,-5.115115017E-2,1.319529462E-1
1.469020167E0,1.223519277E-1,-3.129985303E-2,8.972552419E-2
1.478976167E0,1.166146763E-1,-2.486820817E-2,5.344764411E-2
1.488932167E0,1.311887882E-1,1.209905863E-2,7.777966261E-3
1.498888167E0,1.186780125E-1,1.620000333E-2,-5.118652582E-3
1.508844167E0,8.734793667E-2,8.741879761E-3,-2.808417678E-3
1.518800167E0,6.345307063E-2,-1.772905022E-2,3.684272110E-2
1.528756167E0,8.684412595E-2,-5.614613414E-2,5.185310841E-2
1.538712167E0,1.024642317E-1,-8.530912220E-2,7.583020091E-2
1.548668167E0,1.006081427E-1,-9.388874173E-2,8.423440397E-2
1.558624167E0,7.196055014E-2,-5.211214006E-2,1.196708697E-1
1.568580167E0,8.153587740E-2,-6.253304780E-2,1.867051041E-1
1.578535167E0,9.093056224E-2,-8.201597035E-2,1.994789314E-1
1.588491167E0,1.066877121E-1,-9.054325730E-2,2.224684292E-1
1.598447167E0,4.449946728E-2,-1.067233801E-1,2.157219118E-1
1.608403167E0,2.838728182E-2,-1.025674716E-1,1.875833559E-1
1.618359167E0,4.206143416E-2,-7.336209118E-2,1.140733302E-1
1.628315167E0,4.061801244E-2,-3.371416837E-2,5.130171597E-2
1.638271167E0,2.332023092E-2,1.120677352E-2,4.261158407E-2
1.648227167E0,4.899542794E-2,2.128064901E-2,-2.280355632E-2
1.658183167E0,9.718251485E-2,1.490601450E-2,-8.567983568E-2
1.668139167E0,8.673430793E-2,2.306960464E-2,-9.959387004E-2
1.678095167E0,6.453016430E-2,2.810230315E-2,-9.769937217E-2
1.688051167E0,5.878227822E-2,2.469220698E-2,-1.114438373E-1
1.698006167E0,5.983389996E-2,2.792103946E-2,-4.701863050E-2
1.707962167E0,3.533603981E-2,-2.413438261E-3,7.736860335E-2
1.717918167E0,7.965369523E-3,-4.909643859E-2,1.297093695E-1
1.727874167E0,1.586349607E-3,-7.663653195E-2,2.096121562E-1
1.737830167E0,1.384613357E-2,-7.452539474E-2,2.371238905E-1
1.747786167E0,2.927832440E-2,-6.543882161E-2,1.914319932E-1
1.757742167E0,4.104164321E-2,-7.157021195E-2,1.938720363E-1
1.767698167E0,5.912448652E-2,-6.521311909E-2,1.966623276E-1
1.777654167E0,1.006636912E-1,-3.385947168E-2,1.330592394E-1
1.787610167E0,9.687341642E-2,-4.931834042E-3,6.011931717E-2
1.797566167E0,8.847184461E-2,-6.798557639E-3,2.191477954E-2
